28,95;31,60
Ricsi;26,99;33,00
Pali;27,45;33,10
Pali;27,66;30,05
Gabi;28,00;32,90
Pali;29,95;30,23
Pali;30,05;30,11
Gabi;30,15;30,04
Gabi;20,51;30,70
Pali;28,43;34,77
Gabi;29,90;28,92
Gabi;31,49;30,20
Pali;25,22;34,90
Gabi;34,52;21,90
Pali;31,27;26,42
Pali;28,66;26,01
Ricsi;23,34;24,91
Pali;28,23;35,71
Pali;30,25;25,75
Ricsi;29,32;33,83
Pali;35,12;33,68
Ricsi;24,93;37,44
Pali;28,79;29,40
Gabi;29,90;29,99
Pali;38,73;35,45
Ricsi;24,01;23,22
Pali;33,92;32,42
Gabi;25,79;39,16
Gabi;34,79;22,65
Ricsi;26,65;31,00
Ricsi;30,95;29,90
Pali;21,31;24,10
Gabi;21,62;29,98
Gabi;29,98;33,99
Ricsi;27,03;30,07
Pali;38,06;31,93
Pali;24,74;22,28
Pali;26,38;31,08
Ricsi;34,40;35,38
Pali;22,03;29,91
Gabi;31,74;35,03
Ricsi;30,49;35,55
Pali;36,00;35,73
Gabi;26,98;37,99
Pali;23,89;36,43
Pali;23,67;30,18
Pali;35,12;50,27
Pali;30,45;34,67
Pali;28,59;30,82
Gabi;22,30;23,56
Gabi;25,95;23,19
Pali;35,02;31,82
Ricsi;29,39;31,08
Ricsi;18,94;22,94
Gabi;17,05;36,93
Pali;37,77;39,04
Gabi;36,92;40,05
Gabi;18,09;38,63
Pali;32,22;27,82
Ricsi;27,25;23,80
Gabi;23,51;23,83
Gabi;17,26;32,58
Pali;19,86;39,36
Ricsi;27,04;22,37
Ricsi;27,72;26,45
Ricsi;29,04;37,65
