Név;Ország;Technikai;Komponens;Levonás
Zijun LI;CHN;53.96;49.54;0
Laurine LECAVELIER;FRA;55.18;53.32;1
Kailani CRAINE;AUS;47.93;49.04;1
Angelina KUCHVALSKA;LAT;49.08;50.02;0
Nicole SCHOTT;GER;51.66;54.92;0
Anastasia GALUSTYAN;ARM;49.82;48.45;0
Nicole RAJICOVA;SVK;55.67;52.8;0
Loena HENDRICKX;BEL;58.65;56.63;0
Xiangning LI;CHN;62.69;54.4;0
Ivett TOTH;HUN;47.1;53.67;1
Mariah BELL;USA;65.29;60.92;0
Mai MIHARA;JPN;74.4;63.89;0
Dabin CHOI;KOR;69.72;58.73;0
Rika HONGO;JPN;50.96;57.32;1
Elizabet TURSYNBAEVA;KAZ;68.36;58.15;0
Ashley WAGNER;USA;56.33;68.17;0
Carolina KOSTNER;ITA;59.47;71.03;0
Wakaba HIGUCHI;JPN;59.47;63.71;1
Maria SOTSKOVA;RUS;58.65;64.79;1
Karen CHEN;USA;65.98;64.33;1
Anna POGORILAYA;RUS;53;62.85;4
Evgenia MEDVEDEVA;RUS;78.27;76.13;0
Gabrielle DALEMAN;CAN;71.73;69.6;0
Kaetlyn OSMOND;CAN;70.21;71.94;0
