év;típus;keresztnév;vezetéknév
2017;fizikai;Rainer;Weiss
2017;fizikai;Barry C.;Barish
2017;fizikai;Kip S.;Thorne
2017;kémiai;Jacques;Dubochet
2017;kémiai;Joachim;Frank
2017;kémiai;Richard;Henderson
2017;orvosi;Jeffrey C.;Hall
2017;orvosi;Michael;Rosbash
2017;orvosi;Michael W.;Young
2017;irodalmi;Kazuo;Ishiguro
2017;béke;International Campaign to Abolish Nuclear Weapons (ICAN);
2017;közgazdaságtani;Richard H.;Thaler
2016;fizikai;David J.;Thouless
2016;fizikai;F. Duncan M.;Haldane
2016;fizikai;J. Michael;Kosterlitz
2016;kémiai;Jean-Pierre;Sauvage
2016;kémiai;Sir J. Fraser;Stoddart
2016;kémiai;Bernard L.;Feringa
2016;orvosi;Yoshinori;Ohsumi
2016;irodalmi;Bob;Dylan
2016;béke;Juan Manuel;Santos
2016;közgazdaságtani;Oliver;Hart
2016;közgazdaságtani;Bengt;Holmström
2015;fizikai;Takaaki;Kajita
2015;fizikai;Arthur B.;McDonald
2015;kémiai;Tomas;Lindahl
2015;kémiai;Paul;Modrich
2015;kémiai;Aziz;Sancar
2015;orvosi;William C.;Campbell
2015;orvosi;Satoshi;Ōmura
2015;orvosi;Youyou;Tu
2015;irodalmi;Svetlana;Alexievich
2015;béke;National Dialogue Quartet;
2015;közgazdaságtani;Angus;Deaton
2014;fizikai;Isamu;Akasaki
2014;fizikai;Hiroshi;Amano
2014;fizikai;Shuji;Nakamura
2014;kémiai;Eric;Betzig
2014;kémiai;Stefan W.;Hell
2014;kémiai;William E.;Moerner
2014;orvosi;John;O'Keefe
2014;orvosi;May-Britt;Moser
2014;orvosi;Edvard I.;Moser
2014;irodalmi;Patrick;Modiano
2014;béke;Kailash;Satyarthi
2014;béke;Malala;Yousafzai
2014;közgazdaságtani;Jean;Tirole
2013;fizikai;François;Englert
2013;fizikai;Peter W.;Higgs
2013;kémiai;Martin;Karplus
2013;kémiai;Michael;Levitt
2013;kémiai;Arieh;Warshel
2013;orvosi;James E.;Rothman
2013;orvosi;Randy W.;Schekman
2013;orvosi;Thomas C.;Südhof
2013;irodalmi;Alice;Munro
2013;béke;Organisation for the Prohibition of Chemical Weapons (OPCW);
2013;közgazdaságtani;Eugene F.;Fama
2013;közgazdaságtani;Lars Peter;Hansen
2013;közgazdaságtani;Robert J.;Shiller
2012;fizikai;Serge;Haroche
2012;fizikai;David J.;Wineland
2012;kémiai;Robert J.;Lefkowitz
2012;kémiai;Brian K.;Kobilka
2012;orvosi;Sir John B.;Gurdon
2012;orvosi;Shinya;Yamanaka
2012;irodalmi;Mo;Yan
2012;béke;European Union (EU);
2012;közgazdaságtani;Alvin E.;Roth
2012;közgazdaságtani;Lloyd S.;Shapley
2011;fizikai;Saul;Perlmutter
2011;fizikai;Brian P.;Schmidt
2011;fizikai;Adam G.;Riess
2011;kémiai;Dan;Shechtman
2011;orvosi;Bruce A.;Beutler
2011;orvosi;Jules A.;Hoffmann
2011;orvosi;Ralph M.;Steinman
2011;irodalmi;Tomas;Tranströmer
2011;béke;Ellen;Johnson Sirleaf
2011;béke;Leymah;Gbowee
2011;béke;Tawakkol;Karman
2011;közgazdaságtani;Thomas J.;Sargent
2011;közgazdaságtani;Christopher A.;Sims
2010;fizikai;Andre;Geim
2010;fizikai;Konstantin;Novoselov
2010;kémiai;Richard F.;Heck
2010;kémiai;Ei-ichi;Negishi
2010;kémiai;Akira;Suzuki
2010;orvosi;Robert G.;Edwards
2010;irodalmi;Mario;Vargas Llosa
2010;béke;Liu;Xiaobo
2010;közgazdaságtani;Peter A.;Diamond
2010;közgazdaságtani;Dale T.;Mortensen
2010;közgazdaságtani;Christopher A.;Pissarides
2009;fizikai;Charles Kuen;Kao
2009;fizikai;Willard S.;Boyle
2009;fizikai;George E.;Smith
