csapat;versenyzo;eletkor;palya;korido;kor
Versenylovak;Fürge Ferenc;29;Gran Prix Circuit;00:01:11;1
Versenylovak;Fürge Ferenc;29;Gran Prix Circuit;00:01:05;2
Versenylovak;Fürge Ferenc;29;Gran Prix Circuit;00:01:27;3
Versenylovak;Fürge Ferenc;29;Gran Prix Circuit;00:01:06;4
Versenylovak;Fürge Ferenc;29;Gran Prix Circuit;00:01:05;5
Versenylovak;Fürge Ferenc;29;Gran Prix Circuit;00:01:17;6
Versenylovak;Fürge Ferenc;29;Gran Prix Circuit;00:01:24;7
Versenylovak;Fürge Ferenc;29;Gran Prix Circuit;00:01:28;8
Versenylovak;Fürge Ferenc;29;Gran Prix Circuit;00:01:16;9
Versenylovak;Fürge Ferenc;29;Gran Prix Circuit;00:01:05;10
Versenylovak;Fürge Ferenc;29;Gran Prix Circuit;00:01:21;11
Versenylovak;Fürge Ferenc;29;Gran Prix Circuit;00:01:30;12
Versenylovak;Fürge Ferenc;29;Gran Prix Circuit;00:01:07;13
Versenylovak;Fürge Ferenc;29;Gran Prix Circuit;00:01:12;14
Versenylovak;Fürge Ferenc;29;Gran Prix Circuit;00:01:19;15
Versenylovak;Fürge Ferenc;29;Gran Prix Circuit;00:01:30;16
Versenylovak;Fürge Ferenc;29;Gran Prix Circuit;00:01:05;17
Versenylovak;Fürge Ferenc;29;Gran Prix Circuit;00:01:06;18
Versenylovak;Fürge Ferenc;29;Gran Prix Circuit;00:01:16;19
Versenylovak;Fürge Ferenc;29;Gran Prix Circuit;00:01:15;20
Versenylovak;Fürge Ferenc;29;Gran Prix Circuit;00:01:20;21
Versenylovak;Fürge Ferenc;29;Gran Prix Circuit;00:01:26;22
Versenylovak;Fürge Ferenc;29;Gran Prix Circuit;00:01:19;23
Versenylovak;Fürge Ferenc;29;Gran Prix Circuit;00:01:32;24
Versenylovak;Fürge Ferenc;29;Gran Prix Circuit;00:01:22;25
Versenylovak;Fürge Ferenc;29;Gran Prix Circuit;00:01:34;26
Versenylovak;Fürge Ferenc;29;Gran Prix Circuit;00:01:05;27
Versenylovak;Fürge Ferenc;29;Gran Prix Circuit;00:01:16;28
Versenylovak;Fürge Ferenc;29;Gran Prix Circuit;00:01:20;29
Versenylovak;Fürge Ferenc;29;Gran Prix Circuit;00:01:20;30
Versenylovak;Fürge Ferenc;29;Gran Prix Circuit;00:01:12;31
Versenylovak;Fürge Ferenc;29;Gran Prix Circuit;00:01:20;32
Versenylovak;Fürge Ferenc;29;Gran Prix Circuit;00:01:16;33
Versenylovak;Sebes Szilárd;27;Gran Prix Circuit;00:01:14;1
Versenylovak;Sebes Szilárd;27;Gran Prix Circuit;00:01:07;2
Versenylovak;Sebes Szilárd;27;Gran Prix Circuit;00:01:20;3
Versenylovak;Sebes Szilárd;27;Gran Prix Circuit;00:01:12;4
Versenylovak;Sebes Szilárd;27;Gran Prix Circuit;00:01:05;5
Versenylovak;Sebes Szilárd;27;Gran Prix Circuit;00:01:07;6
Versenylovak;Sebes Szilárd;27;Gran Prix Circuit;00:01:09;7
Versenylovak;Sebes Szilárd;27;Gran Prix Circuit;00:01:18;8
Versenylovak;Sebes Szilárd;27;Gran Prix Circuit;00:01:17;9
Versenylovak;Sebes Szilárd;27;Gran Prix Circuit;00:01:17;10
Versenylovak;Sebes Szilárd;27;Gran Prix Circuit;00:01:12;11
Versenylovak;Sebes Szilárd;27;Gran Prix Circuit;00:01:13;12
Versenylovak;Sebes Szilárd;27;Gran Prix Circuit;00:01:09;13
Versenylovak;Sebes Szilárd;27;Gran Prix Circuit;00:01:26;14
Versenylovak;Sebes Szilárd;27;Gran Prix Circuit;00:01:08;15
Versenylovak;Sebes Szilárd;27;Gran Prix Circuit;00:01:09;16
Versenylovak;Sebes Szilárd;27;Gran Prix Circuit;00:01:27;17
Versenylovak;Sebes Szilárd;27;Gran Prix Circuit;00:01:32;18
Versenylovak;Sebes Szilárd;27;Gran Prix Circuit;00:01:07;19
Versenylovak;Sebes Szilárd;27;Gran Prix Circuit;00:01:06;20
Versenylovak;Sebes Szilárd;27;Gran Prix Circuit;00:01:24;21
Versenylovak;Sebes Szilárd;27;Gran Prix Circuit;00:01:18;22
Versenylovak;Sebes Szilárd;27;Gran Prix Circuit;00:01:29;23
