Ora;Perc;AdasDb;Nev
6;0;2;Laci
6;1;3;Bandi
6;1;2;Gyuri
6;3;4;Tomi
6;7;2;Bandi
6;7;1;Zsombor
6;8;1;Peti
6;8;4;Józsi
6;8;1;Csabi
6;10;3;Sanyi
6;11;1;Zoli
6;11;2;Józsi
6;13;1;Jani
6;17;1;Bandi
6;20;2;Bandi
6;20;2;Laci
6;21;1;Pityu
6;25;1;Bandi
6;27;1;Gabi
6;30;2;Józsi
6;32;2;Pityu
6;32;2;Gabi
6;33;2;Tomi
6;35;1;Sanyi
6;35;3;Tibi
6;36;1;Zsombor
6;38;3;Józsi
6;38;1;Tibi
6;40;1;Jani
6;42;3;Peti
6;42;4;Józsi
6;43;1;Zsombor
6;46;3;Imi
6;47;4;Bandi
6;48;3;Gyuri
6;49;4;Peti
6;50;1;Józsi
6;51;1;Bandi
6;53;3;Imi
6;55;2;Peti
6;58;1;Csabi
7;1;2;Feri
7;1;1;Lali
7;4;3;Feri
7;5;4;Gabi
7;6;2;Jani
7;7;3;Tomi
7;7;4;Bandi
7;10;1;Imi
7;10;1;Zoli
7;10;3;Csabi
7;12;3;Bandi
7;16;1;Gabi
7;16;1;Feri
7;19;2;Jani
7;19;2;Józsi
7;20;2;Gyuri
7;20;3;Józsi
7;22;3;Bandi
7;23;1;Zoli
7;24;3;Gabi
7;25;4;Zoli
7;27;2;Laci
7;28;1;Tibi
7;32;1;Zsolti
7;33;3;Peti
7;34;1;Zsombor
7;36;4;Zsombor
7;37;3;Pityu
7;37;1;Zoli
7;38;4;Zsolti
7;38;2;Laci
7;39;4;Pityu
7;39;2;Gyuri
7;40;1;Bandi
7;40;3;Laci
7;43;4;Gabi
7;45;4;Gyuri
7;47;1;Józsi
7;48;1;Feri
7;48;1;Bandi
7;49;1;Tomi
7;50;2;Peti
7;50;1;Csabi
7;50;3;Gyuri
7;52;4;Zsolti
7;53;1;Sanyi
7;55;4;Jani
7;56;2;Peti
7;56;2;Tomi
7;56;4;Tibi
7;58;1;Sanyi
7;58;3;Tomi
8;4;3;Sanyi
8;4;4;Jani
8;4;4;Zsombor
8;4;3;Lali
8;6;2;Gyuszi
8;6;1;Gyuszi
8;6;1;Tibi
8;9;4;Bandi
8;9;2;Pityu
8;9;3;Sanyi
8;9;1;Gabi
8;10;3;Csabi
8;10;2;Lali
8;12;3;Pityu
8;12;1;Tomi
8;13;3;Imi
8;13;2;Sanyi
8;13;2;Bandi
8;14;2;Lali
8;16;1;Tomi
8;19;3;Józsi
8;20;1;Sanyi
8;22;1;Csabi
8;23;1;Feri
8;23;2;Jani
