Év;Hét;Forduló;T13p1;Ny13p1;Eredmények
2020;18;1;0;0;2X22211X1X11X1
2020;17;1;0;0;2221XX12222121
2020;16;2;0;0;1111XX11X12X1X
2020;16;1;0;0;112X1XXX1221X1
2020;15;2;0;0;X11X112112X222
2020;15;1;0;0;222211111X11X1
2020;14;1;0;0;X121121XXXX121
2020;13;1;0;0;1X112X221X1111
2020;12;1;0;0;111X1X212X1X11
2020;11;2;112;13900;2111X21XXX1122
2020;11;1;1;6058510;121121122121XX
2020;10;2;0;0;X1XX21X112X111
2020;10;1;0;0;2111X212XX1122
2020;9;2;3;3485930;122122111XX121
2020;9;1;0;0;2X1222X1221X1X
2020;8;2;0;0;12X222112X2211
2020;8;1;1;1366420;11121211X12112
2020;7;2;12;853730;11212122X11221
2020;7;1;0;0;X1X2X121X22212
2020;6;2;0;0;2121X2X12X1221
2020;6;1;0;0;XX2XX111XXX221
2020;5;2;1;11022635;1211X2211XX121
2020;5;1;0;0;X121X221211212
2020;4;2;0;0;1112211X1X2XX1
2020;4;1;0;0;X112X21122X211
2020;3;2;2;1461505;222112221X2111
2020;3;1;23;67905;111121111212X2
2020;2;2;2;13359780;12X111121222X2
2020;2;1;0;0;2X1122X111X122
2020;1;2;0;0;21X12XX22122X1
2020;1;1;0;0;2111X1221212X1
2019;52;2;0;0;2X1X2211222222
2019;52;1;0;0;X1211X1XXXX1X2
2019;51;2;0;0;112X1X1112112X
2019;51;1;0;0;X22122X21222XX
2019;50;2;1;2601045;21121122X11X2X
2019;50;1;15;307880;2112X121222121
2019;49;2;0;0;21111111X11X22
2019;49;1;13;805145;111111X2211X11
2019;48;2;0;0;2X22122X121222
2019;48;1;0;0;X211X11X22X2X1
2019;47;2;0;0;21X22122X2121X
2019;47;1;2;680355;11111112221X11
2019;46;2;2;2127980;2211X12122212X
2019;46;1;28;151725;X1112111X1111X
2019;45;2;0;0;1X21211221X111
2019;45;1;4;1054955;X1X11112112XX1
2019;44;2;0;0;XX211112X12222
2019;44;1;2;2095890;X21X111X22X112
2019;43;2;0;0;X1211XX12XXX12
2019;43;1;212;21160;22211112X22211
2019;42;2;0;0;1XXXX111112XXX
2019;42;1;4;263765;111X11222121XX
2019;41;2;16;153500;11X1222122XX11
2019;41;1;1;4510050;XX112X112111X1
2019;40;2;0;0;X2X2X1X121XXX2
2019;40;1;4;368815;212121X2112221
2019;39;2;1;3996400;X2222X21221122
2019;39;1;0;0;221X12211X2X11
2019;38;2;2;1157830;2212X1121XX222
2019;38;1;1;1389265;1XX1X221XX22X1
2019;37;2;1;3810205;X21112X1121122
2019;37;1;0;0;212212X11XX112
2019;36;2;1;2145575;21121111X11XX2
2019;36;1;8;545095;112XX12X21X112
2019;35;2;0;0;11X221X1111XXX
2019;35;1;4;971675;11122XX1221111
2019;34;2;0;0;122212221X2112
2019;34;1;1;7708905;1X1X12X1111112
2019;33;2;0;0;X2X2X211112X12
2019;33;1;0;0;2XX1112212221X
2019;32;2;1;9365220;1X1X2X2XX11X11
2019;32;1;0;0;XX21X22222111X
2019;31;2;0;0;1XX1121112221X
2019;31;1;0;0;X1111112XX2111
2019;30;2;0;0;11221X2X2122X1
2019;30;1;18;284040;1111X1X1112111
2019;29;2;0;0;1X11212122X212
2019;29;1;0;0;212X1221X1X21X
2019;28;2;1;9385310;11111111X21221
2019;28;1;0;0;12XX2X2112121X
2019;27;2;0;0;12X212111X2111
2019;27;1;0;0;X22X2XX2121211
2019;26;2;0;0;XXX2121121XXX2
2019;26;1;2;445190;11XX11X111X1X2
2019;25;2;78;26910;2221X11121X111
2019;25;1;1;4923860;21222211212X1X
2019;24;2;0;0;X2X111112X1111
2019;24;1;0;0;12111121222111
2019;23;2;11;1241030;211211121122X1
2019;23;1;0;0;1X2111X11X211X
2019;22;2;0;0;2211XX1X1222X1
2019;22;1;0;0;11XX21X111XX2X
2019;21;2;0;0;22X22121X11111
2019;21;1;0;0;X12211122XX2X2
2019;20;2;4;2322945;121211112X11X1
2019;20;1;0;0;1121112X122XX2
2019;19;2;0;0;2X1X1X22XX2212
2019;19;1;0;0;122X121X1112X2
2019;18;2;1;15174970;1X11XX1X12XX1X
2019;18;1;0;0;212X21XX1121X1
2019;17;2;0;0;1X2X112XX1X221
2019;17;1;0;0;21212X12221X12
2019;16;2;0;0;1X112221122X1X
2019;16;1;0;0;1221211X111112
2019;15;2;45;64845;1X212112211221
2019;15;1;1;10088050;11X21122XX2211
2019;14;2;0;0;12222X12112XXX
2019;14;1;0;0;12221X2111X2X1
2019;13;2;0;0;111X1221111X22
2019;13;1;2;615320;X1X1X221XX2112
2019;12;2;28;84820;11111212121X12
2019;12;1;25;311765;11112X11X1122X
2019;11;2;0;0;2X122111121112
2019;11;1;0;0;1112212X111X12
2019;10;2;6;1168750;2X11X1212121XX
2019;10;1;0;0;2212XXXX121111
2019;9;2;3;1055800;221212X11X1112
2019;9;1;9;159575;XX211111121122
2019;8;2;19;1529005;11212111222XXX
2019;8;1;0;0;XX2122X12X1X11
2019;7;2;0;0;2X11XX1122111X
2019;7;1;0;0;2121XXX1111121
2019;6;2;0;0;X2X2XX111X2211
2019;6;1;0;0;X221X111X2121X
2019;5;2;0;0;1X2X2XX11X2X11
2019;5;1;0;0;1111121X11XX11
2019;4;2;26;403145;1122X12122XX12
2019;4;1;0;0;2X121222121111
2019;3;2;0;0;1112XXX2122211
2019;3;1;0;0;1XX21X2XX1X111
2019;2;2;106;164120;X2112X22111112
2019;2;1;0;0;111X2X2111X1X1
2019;1;2;0;0;12X2X11111XX22
2019;1;1;0;0;2XX2X2111112X1
2018;52;2;0;0;X2X22111221221
2018;52;1;0;0;11112X2X221111
2018;51;2;6;814415;11222112211XX1
2018;51;1;0;0;11X12XXXX2X212
2018;50;2;107;117565;12XX1111122111
2018;50;1;0;0;12XXX212X1111X
2018;49;2;0;0;2111X11111XXXX
2018;49;1;0;0;1112X1112XX11X
2018;48;2;35;75515;122X12111X111X
2018;48;1;1;5103620;21X21111X21111
2018;47;2;0;0;X1X2X11X11XXXX
2018;47;1;22;455100;X11211X1111221
2018;46;2;0;0;X12121212X2111
2018;46;1;0;0;111XX222X11211
2018;45;2;0;0;112122111211X2
2018;45;1;1;6290265;X2111X1121XX22
2018;44;2;0;0;12X2X1221X1122
2018;44;1;0;0;XXXX1211111112
2018;43;2;2;1393315;X21XX22XXX1X21
2018;43;1;1;6022225;2X212X1XX1X2X1
2018;42;2;0;0;12XX222X12X2X1
2018;42;1;0;0;1X1XX121221X11
2018;41;2;5;2426720;11X11XX1XX2122
2018;41;1;0;0;X122212X12X212
2018;40;2;0;0;X2X12X2122111X
2018;40;1;0;0;2XX11X22111212
2018;39;2;4;4097535;1111111121X2XX
2018;39;1;0;0;121111X11121X1
2018;38;2;0;0;X1221X12211X21
2018;38;1;0;0;11122XX12X2212
2018;37;2;0;0;21111X121X112X
2018;37;1;0;0;12111X21X1112X
2018;36;2;86;90565;11122111111111
2018;36;1;0;0;X2X121X11X1121
2018;35;2;0;0;XX212X2X222111
2018;35;1;0;0;XX21X212222112
2018;34;2;5;1677030;1211X11111111X
2018;34;1;0;0;21X1X2XX1XX11X
2018;33;2;0;0;X11111222X2X11
2018;33;1;0;0;XX1X11XX2X1X1X
2018;32;2;32;114295;2112X212X1X221
2018;32;1;0;0;XXXX11X21121X1
2018;31;2;2;1662100;121X11X112X112
2018;31;1;0;0;122X2211X1X12X
2018;30;2;2;3921125;XXX1X12X121222
2018;30;1;0;0;XX11212111X212
2018;29;2;0;0;21111221212XX1
2018;29;1;0;0;11112222X111X1
2018;28;2;3;3841245;1X2211121111X1
2018;28;1;0;0;1212211X1X211X
2018;27;2;0;0;212121XX11111X
2018;27;1;0;0;X2111122X112X1
2018;26;2;0;0;11XXX12211111X
2018;26;1;0;0;22212X222XXX12
2018;25;2;17;133205;1211X1X2111X12
2018;25;1;14;885895;1112X111XXX122
2018;24;2;0;0;1X212212X1212X
2018;24;1;0;0;X2XX1X111211X1
2018;23;2;0;0;2X1X1X2111XX12
2018;23;1;0;0;X11X11X1X1X22X
2018;22;2;0;0;11X2X12112111X
2018;22;1;1;10180510;11X112111X111X
2018;21;1;0;0;XX11221112XX21
2018;20;2;0;0;X2122111111122
2018;20;1;104;41260;1221111X111112
2018;19;2;0;0;2112121112XX2X
2018;19;1;1;9393155;X21XX111211111
2018;18;2;0;0;X22111X12XX21X
2018;18;1;0;0;11X22122222111
2018;17;2;0;0;1XX221X1222112
2018;17;1;1;6350040;121111X2X2121X
2018;16;2;0;0;112221X1122212
2018;16;1;0;0;122X21X1X12221
2018;15;2;1;7936830;X11111XXXX1X21
2018;15;1;0;0;21X21X1112X111
2018;14;2;0;0;212X11X22X12XX
2018;14;1;10;1859030;2211121XX11111
2018;13;2;0;0;XX1X1X1211X1X2
2018;13;1;0;0;2X12121XX11221
2018;12;2;0;0;2211X221221122
2018;12;1;0;0;22X222X2211121
2018;11;2;0;0;2X2112X2122X11
2018;11;1;0;0;2121122221XX21
2018;10;2;1;8343820;12X11X1212X12X
2018;10;1;0;0;2X2211122111X2
2018;9;2;0;0;1X1122X2112221
2018;9;1;1;7312955;1XX1211XX111X2
2018;8;2;0;0;11X2X221121212
2018;8;1;0;0;X1X1112X12121X
2018;7;2;2;2545605;2X2112221211X1
2018;7;1;0;0;X22112222X1122
2018;6;2;15;229695;21111111111112
2018;6;1;35;1058195;X112X1112X1211
2018;5;2;0;0;22XX2X221X2X11
2018;5;1;0;0;2X211X221XX1X1
2018;4;2;0;0;21XX2X122X112X
2018;4;1;0;0;11XXX1X11XX221
2018;3;2;0;0;2111221X2112X1
2018;3;1;0;0;X121X2X111X211
2018;2;2;0;0;1X11X11X2XX111
2018;2;1;1;29007200;1111X2122XXX2X
2018;1;2;0;0;111212212111XX
