típus;év;utas;személyzet;utazósebesség;felszállótömeg;fesztáv
Airbus A300;1972;220-336;3;911;142000;44,84
Airbus A310;1982;218;2;950;150000;43,89
Airbus A320;1985;150-179;2;950;66000;33,91
Antonov An-24;1960;50;5;450;21000;29,2
BAC VC-10;1962;130-180;4-5;915;152000;42,7
BAe (HS) 748;1960;40-58;2;452;21092;31,24
BAe /BAC/ One-Eleven 475;1967;89-119;2;742;44678;28,5
BAe 146;1981;111;2;709;42184;28,6
Boeing 707;1954;219;2-3;866;151315;44,42
Boeing 727;1962;163-189;3;953;83820;32,92
Boeing 737;1967;110-149;2;856;52390;28,35
Boeing 747;1969;420-516;3;955;322050;59,64
Concorde;1970;128-144;3;2179;185065;25,56
DHC-5 Buffalo;1964;35-40;3;467;22316;29,26
DHC-6 Twin Otter;1965;13-20;1-2;338;5670;19,81
DHC-7 Dash 7;1975;50-54;2;420;21319;28,35
DHC-8 Dash 8;1983;36-40;2;497;14968;25,91
Dornier 228;1981;15-19;2;428;6500;16,97
Fokker F27 Friendship;1955;52;2;480;20820;29
Fokker F28 Fellowship;1967;55-85;2-3;843;33110;25,07
Iljusin Il-18 Moszkva;1957;85;4;675;64000;35,9
Iljusin Il-62;1963;114-186;5;820;162000;43,2
Iljusin Il-86;1976;350;3-5;950;206000;48,06
Jakovlev Jak-40;1966;27-32;2-3;550;16000;25
Jakovlev Jak-42;1975;104-120;2;810;54000;34,88
Lockheed L-1011 Tristar;1970;256-400;3;964;195045;47,34
McDonnell Douglas DC-8;1958;105-251;3-5;965;251150;45,9
McDonnell Douglas DC-9;1965;90-172;2-3;907;54885;28,47
McDonnell Douglas DC-10;1970;255-345;5;940;199580;47,34
Tupoljev Tu-134;1967;76-80;3;870;47000;29,01
Tupoljev Tu-144;1968;140;2;2500;180000;28,8
Tupoljev Tu-154;1968;128-169;3;975;98000;37,55
