domain-name;ip-address
dhvx20.csudh.edu;155.135.1.1
dhvx.csudh.edu;155.135.1.2
dha300.csudh.edu;155.135.1.3
hawk.csudh.edu;155.135.1.4
dhvx10.csudh.edu;155.135.1.5
dhvx60.csudh.edu;155.135.1.6
kioskserver.csudh.edu;155.135.1.7
server.csudh.edu;155.135.1.8
bwilliams.csudh.edu;155.135.1.12
bhuynh.csudh.edu;155.135.1.14
lhaley.csudh.edu;155.135.1.15
ssoos.csudh.edu;155.135.1.17
bkoch.csudh.edu;155.135.1.18
ptanaka.csudh.edu;155.135.1.19
www.csudh.edu;155.135.1.37
fdws6.csudh.edu;155.135.1.38
fdws7.csudh.edu;155.135.1.39
fdws8.csudh.edu;155.135.1.40
www2.csudh.edu;155.135.1.41
yakko.csudh.edu;155.135.1.42
bronto.csudh.edu;155.135.1.46
ptero.csudh.edu;155.135.1.47
cs.csudh.edu;155.135.1.48
banimage.csudh.edu;155.135.1.49
inferno.csudh.edu;155.135.1.121
sphinx.csudh.edu;155.135.1.123
toroweb.csudh.edu;155.135.1.125
starrsu.csudh.edu;155.135.1.127
admxapp.csudh.edu;155.135.1.128
wtserv.csudh.edu;155.135.1.129
cpmessaging.csudh.edu;155.135.1.137
pipeline.csudh.edu;155.135.1.138
project.csudh.edu;155.135.1.142
dhais02.csudh.edu;155.135.1.145
dhais03.csudh.edu;155.135.1.147
wlr.csudh.edu;155.135.1.150
cptest.csudh.edu;155.135.1.152
cptm.csudh.edu;155.135.1.153
cs105.csudh.edu;155.135.1.155
dhais04.csudh.edu;155.135.1.157
dhais06.csudh.edu;155.135.1.159
sws.csudh.edu;155.135.1.163
swt.csudh.edu;155.135.1.164
ctl.csudh.edu;155.135.1.166
change.csudh.edu;155.135.1.167
email.csudh.edu;155.135.1.180
ns1.csudh.edu;155.135.55.2
www.adec-cal.org;155.135.55.3
toro6.csudh.edu;155.135.55.4
toro4.csudh.edu;155.135.55.5
vaquero.csudh.edu;155.135.55.6
toro5.csudh.edu;155.135.55.7
toro3.csudh.edu;155.135.55.8
bullseye.csudh.edu;155.135.55.9
music1.csudh.edu;155.135.55.11
music2.csudh.edu;155.135.55.12
home.muphiepsilon.org;155.135.55.13
library.csudh.edu;155.135.55.17
library2.csudh.edu;155.135.55.18
library4.csudh.edu;155.135.55.21
library3.csudh.edu;155.135.55.22
pharos.csudh.edu;155.135.55.23
pharos2.csudh.edu;155.135.55.24
soh.csudh.edu;155.135.55.25
dhtv1.csudh.edu;155.135.55.28
pclass.csudh.edu;155.135.55.29
torofind.csudh.edu;155.135.55.31
unix.csudh.edu;155.135.55.44
riofrio.csudh.edu;155.135.55.46
csc.csudh.edu;155.135.55.47
csc01.csudh.edu;155.135.55.48
csc02.csudh.edu;155.135.55.49
csc03.csudh.edu;155.135.55.50
csc04.csudh.edu;155.135.55.51
cscacc.csudh.edu;155.135.55.52
csc208.csudh.edu;155.135.55.53
mieszko.csudh.edu;155.135.55.56
java.csudh.edu;155.135.55.58
kowalski.csudh.edu;155.135.55.60
csc455.csudh.edu;155.135.55.61
buga.csudh.edu;155.135.55.62
chemistry.csudh.edu;155.135.55.63
chemistry2.csudh.edu;155.135.55.64
chemistry3.csudh.edu;155.135.55.65
proton.csudh.edu;155.135.55.66
vijes.csudh.edu;155.135.55.67
florida.csudh.edu;155.135.55.68
pance.csudh.edu;155.135.55.69
cali.csudh.edu;155.135.55.74
math.csudh.edu;155.135.55.75
timesink.csudh.edu;155.135.55.76
ganezer.csudh.edu;155.135.55.79
som.csudh.edu;155.135.55.81
somc.csudh.edu;155.135.55.82
mba.csudh.edu;155.135.55.83
mpa.csudh.edu;155.135.55.84
msem.csudh.edu;155.135.55.85
mpaonline.csudh.edu;155.135.55.86
msemonline.csudh.edu;155.135.55.87
mbaonline.csudh.edu;155.135.55.88
online.csudh.edu;155.135.55.89
mbachina.csudh.edu;155.135.55.90
bpastudent.csudh.edu;155.135.55.91
bpaonlineb.csudh.edu;155.135.55.92
bpaonline.csudh.edu;155.135.55.93
management.csudh.edu;155.135.55.94
somadmin.csudh.edu;155.135.55.95
som-online.csudh.edu;155.135.55.96
bpasvr.csudh.edu;155.135.55.97
bpasvr2.csudh.edu;155.135.55.98
sbpwinmedia.csudh.edu;155.135.55.99
soma.csudh.edu;155.135.55.100
somb.csudh.edu;155.135.55.101
cisdb.csudh.edu;155.135.55.102
alberto.csudh.edu;155.135.55.104
cache.csudh.edu;155.135.55.105
www.cams.csudh.edu;155.135.55.110
gmasuda.csudh.edu;155.135.55.112
fe01.test.csudh.edu;155.135.55.113
dhpp.csudh.edu;155.135.55.114
mail.cams.csudh.edu;155.135.55.115
timelord.csudh.edu;155.135.55.118
earth.csudh.edu;155.135.55.119
www.globaldiasporas.csudh.edu;155.135.55.120
msrpsrv.cas.csudh.edu;155.135.55.121
www.psychology.csudh.edu;155.135.55.122
www.ginaug.com;155.135.55.123
cas.csudh.edu;155.135.55.124
webmail.csudh.edu;155.135.55.128
saigon.csudh.edu;155.135.55.135
email.csudh.edu;155.135.55.136
zeus.csudh.edu;155.135.55.200
