date;grandprix;position;laps;points;team;status
1991-08-25;Belgian Grand Prix;0;0;0;Jordan;Clutch
1991-09-08;Italian Grand Prix;5;53;2;Benetton;Finished
1991-09-22;Portuguese Grand Prix;6;71;1;Benetton;Finished
1991-09-29;Spanish Grand Prix;6;65;1;Benetton;Finished
1991-10-20;Japanese Grand Prix;0;34;0;Benetton;Engine
1991-11-03;Australian Grand Prix;0;5;0;Benetton;Spun off
1992-03-01;South African Grand Prix;4;72;3;Benetton;Finished
1992-03-22;Mexican Grand Prix;3;69;4;Benetton;Finished
1992-04-05;Brazilian Grand Prix;3;70;4;Benetton;+1 Lap
1992-05-03;Spanish Grand Prix;2;65;6;Benetton;Finished
1992-05-17;San Marino Grand Prix;0;20;0;Benetton;Spun off
1992-05-31;Monaco Grand Prix;4;78;3;Benetton;Finished
1992-06-14;Canadian Grand Prix;2;69;6;Benetton;Finished
1992-07-05;French Grand Prix;0;17;0;Benetton;Accident
1992-07-12;British Grand Prix;4;59;3;Benetton;Finished
1992-07-26;German Grand Prix;3;45;4;Benetton;Finished
1992-08-16;Hungarian Grand Prix;0;63;0;Benetton;Broken wing
1992-08-30;Belgian Grand Prix;1;44;10;Benetton;Finished
1992-09-13;Italian Grand Prix;3;53;4;Benetton;Finished
1992-09-27;Portuguese Grand Prix;7;69;0;Benetton;+2 Laps
1992-10-25;Japanese Grand Prix;0;13;0;Benetton;Gearbox
1992-11-08;Australian Grand Prix;2;81;6;Benetton;Finished
1993-03-14;South African Grand Prix;0;39;0;Benetton;Spun off
1993-03-28;Brazilian Grand Prix;3;71;4;Benetton;Finished
1993-04-11;European Grand Prix;0;22;0;Benetton;Spun off
1993-04-25;San Marino Grand Prix;2;61;6;Benetton;Finished
1993-05-09;Spanish Grand Prix;3;65;4;Benetton;Finished
1993-05-23;Monaco Grand Prix;0;32;0;Benetton;Hydraulics
1993-06-13;Canadian Grand Prix;2;69;6;Benetton;Finished
1993-07-04;French Grand Prix;3;72;4;Benetton;Finished
1993-07-11;British Grand Prix;2;59;6;Benetton;Finished
1993-07-25;German Grand Prix;2;45;6;Benetton;Finished
1993-08-15;Hungarian Grand Prix;0;26;0;Benetton;Fuel pump
1993-08-29;Belgian Grand Prix;2;44;6;Benetton;Finished
1993-09-12;Italian Grand Prix;0;21;0;Benetton;Engine
1993-09-26;Portuguese Grand Prix;1;71;10;Benetton;Finished
1993-10-24;Japanese Grand Prix;0;10;0;Benetton;Collision
1993-11-07;Australian Grand Prix;0;19;0;Benetton;Engine
1994-03-27;Brazilian Grand Prix;1;71;10;Benetton;Finished
