hazai;idegen;hazai_pont;idegen_pont;helyszín;idõpont
7up Joventut;Adecco Estudiantes;81;73;Palacio Mun. De Deportes De Badalona;2005-04-03
7up Joventut;Breogán Lugo;97;83;Palacio Mun. De Deportes De Badalona;2004-11-21
7up Joventut;C.B. Granada;85;87;Palacio Mun. De Deportes De Badalona;2004-12-04
7up Joventut;Caja San Fernando;81;99;Palacio Mun. De Deportes De Badalona;2005-01-08
7up Joventut;Casademont Girona;101;79;Palacio Mun. De Deportes De Badalona;2005-01-23
7up Joventut;Etosa Alicante;81;78;Palacio Mun. De Deportes De Badalona;2005-04-24
7up Joventut;Forum Valladolid;95;83;Palacio Mun. De Deportes De Badalona;2004-11-06
7up Joventut;Gran Canaria;73;68;Palacio Mun. De Deportes De Badalona;2005-03-13
7up Joventut;Lagun Aro Bilbao Basket;76;84;Palacio Mun. De Deportes De Badalona;2004-10-06
7up Joventut;Pamesa Valencia;78;85;Palacio Mun. De Deportes De Badalona;2004-10-17
7up Joventut;Plus Pujol Lleida;91;67;Palacio Mun. De Deportes De Badalona;2005-02-27
7up Joventut;Real Madrid;78;68;Palacio Mun. De Deportes De Badalona;2005-05-10
7up Joventut;Real Madrid;79;66;Palacio Mun. De Deportes De Badalona;2005-05-22
7up Joventut;Real Madrid;72;81;Palacio Mun. De Deportes De Badalona;2005-05-29
7up Joventut;Ricoh Manresa;87;75;Palacio Mun. De Deportes De Badalona;2005-02-05
7up Joventut;Tau Cerámica;95;92;Palacio Mun. De Deportes De Badalona;2005-03-27
7up Joventut;Unelco Tenerife;90;65;Palacio Mun. De Deportes De Badalona;2004-10-27
7up Joventut;Unicaja;87;89;Palacio Mun. De Deportes De Badalona;2005-04-16
7up Joventut;Winterthur F.C. Barcelona;81;73;Palacio Mun. De Deportes De Badalona;2004-12-19
Adecco Estudiantes;7up Joventut;87;82;Palacio Vistalegre;2004-11-28
Adecco Estudiantes;Breogán Lugo;82;95;Palacio Vistalegre;2005-04-17
Adecco Estudiantes;C.B. Granada;77;61;Palacio Vistalegre;2004-11-20
Adecco Estudiantes;Caja San Fernando;88;80;Palacio Vistalegre;2005-05-11
Adecco Estudiantes;Casademont Girona;109;73;Palacio Vistalegre;2005-04-24
Adecco Estudiantes;Etosa Alicante;68;85;Palacio Vistalegre;2004-10-06
Adecco Estudiantes;Forum Valladolid;91;82;Palacio Vistalegre;2005-04-09
Adecco Estudiantes;Gran Canaria;68;66;Palacio Vistalegre;2005-03-27
Adecco Estudiantes;Lagun Aro Bilbao Basket;99;88;Palacio Vistalegre;2005-02-06
Adecco Estudiantes;Pamesa Valencia;104;106;Palacio Vistalegre;2005-01-23
Adecco Estudiantes;Plus Pujol Lleida;88;85;Palacio Vistalegre;2004-12-19
Adecco Estudiantes;Real Madrid;84;85;Palacio Vistalegre;2005-06-08
Adecco Estudiantes;Real Madrid;68;74;Palacio Vistalegre;2005-06-10
Adecco Estudiantes;Real Madrid;95;71;Palacio Vistalegre;2005-02-27
Adecco Estudiantes;Ricoh Manresa;88;69;Palacio Vistalegre;2004-10-27
Adecco Estudiantes;Tau Cerámica;101;86;Palacio Vistalegre;2004-11-07
Adecco Estudiantes;Unelco Tenerife;83;64;Palacio Vistalegre;2005-03-12
Adecco Estudiantes;Unicaja;75;83;Palacio Vistalegre;2005-01-09
Adecco Estudiantes;Winterthur F.C. Barcelona;78;57;Palacio Vistalegre;2005-05-22
Adecco Estudiantes;Winterthur F.C. Barcelona;81;63;Palacio Vistalegre;2005-05-29
Adecco Estudiantes;Winterthur F.C. Barcelona;66;67;Palacio Vistalegre;2004-10-17
Breogán Lugo;7up Joventut;80;95;Pazo Provincial Dos Deportes;2005-04-21
Breogán Lugo;Adecco Estudiantes;81;89;Pazo Provincial Dos Deportes;2004-12-11
Breogán Lugo;C.B. Granada;66;73;Pazo Provincial Dos Deportes;2005-05-01
Breogán Lugo;Caja San Fernando;96;102;Pazo Provincial Dos Deportes;2004-10-06
Breogán Lugo;Casademont Girona;96;72;Pazo Provincial Dos Deportes;2005-05-11
Breogán Lugo;Etosa Alicante;77;82;Pazo Provincial Dos Deportes;2004-10-27
Breogán Lugo;Forum Valladolid;105;77;Pazo Provincial Dos Deportes;2005-03-27
Breogán Lugo;Gran Canaria;74;93;Pazo Provincial Dos Deportes;2004-11-27
Breogán Lugo;Lagun Aro Bilbao Basket;89;79;Pazo Provincial Dos Deportes;2005-01-22
Breogán Lugo;Pamesa Valencia;96;88;Pazo Provincial Dos Deportes;2005-02-05
Breogán Lugo;Plus Pujol Lleida;72;80;Pazo Provincial Dos Deportes;2004-10-16
Breogán Lugo;Real Madrid;77;83;Pazo Provincial Dos Deportes;2005-03-13
Breogán Lugo;Ricoh Manresa;96;89;Pazo Provincial Dos Deportes;2005-01-15
Breogán Lugo;Tau Cerámica;48;88;Pazo Provincial Dos Deportes;2005-04-10
Breogán Lugo;Unelco Tenerife;96;72;Pazo Provincial Dos Deportes;2004-11-06
Breogán Lugo;Unicaja;93;82;Pazo Provincial Dos Deportes;2004-12-19
Breogán Lugo;Winterthur F.C. Barcelona;95;85;Pazo Provincial Dos Deportes;2005-02-26
C.B. Granada;7up Joventut;80;93;Palacio Municipal De Deportes;2005-04-09
C.B. Granada;Adecco Estudiantes;74;90;Palacio Municipal De Deportes;2005-04-20
C.B. Granada;Breogán Lugo;95;86;Palacio Municipal De Deportes;2005-01-08
