név;elsõ;utolsó;súly;magasság
Jim Abbott;1989-04-08;1999-07-21;200;75
Kyle Abbott;1991-09-10;1996-08-24;200;76
Joel Adamson;1996-04-10;1998-04-26;185;76
Steve Adkins;1990-09-12;1990-10-03;210;78
Juan Agosto;1981-09-07;1993-06-19;190;74
Mike Aldrete;1986-05-28;1996-09-29;180;71
Dana Allison;1991-04-12;1991-05-23;215;75
Beau Allred;1989-09-07;1991-06-25;190;72
Allan Anderson;1986-06-11;1991-10-06;178;71
Eric Anthony;1989-07-28;1997-09-27;195;74
Paul Assenmacher;1986-04-12;1999-10-03;195;75
Oscar Azocar;1990-07-17;1992-10-04;170;73
Scott Bailes;1986-04-09;1998-09-27;170;74
Scott Baker;1995-07-17;1995-07-17;175;74
Jeff Baldwin;1990-05-22;1990-06-04;180;73
Jeff Ballard;1987-05-09;1994-07-08;195;75
Floyd Bannister;1977-04-19;1992-08-10;190;73
Travis Baptist;1998-08-01;1998-09-23;195;72
John Barfield;1989-09-07;1991-08-01;195;73
Brian Bark;1995-07-06;1995-09-08;170;69
Brian Barkley;1998-05-28;1998-09-27;180;74
Brian Barnes;1990-09-14;1994-07-01;170;69
Shawn Barton;1992-08-06;1996-09-06;195;75
Bill Bean;1987-04-25;1995-07-08;185;72
Kevin Bearse;1990-04-15;1990-04-30;195;74
Blaine Beatty;1989-09-16;1991-09-30;185;74
Robbie Beckett;1996-09-12;1997-09-26;240;77
Matt Beech;1996-08-08;1998-08-09;190;74
Eric Bell;1985-09-24;1993-05-08;178;72
Mike Bell;1990-05-02;1991-10-06;175;73
Dave Bergman;1975-08-26;1992-10-04;185;73
Mike Bertotti;1995-07-29;1997-05-10;185;73
Brent Billingsley;1999-05-20;1999-10-03;200;74
Tim Birtsas;1985-05-03;1990-10-03;240;79
Buddy Black;1981-09-05;1995-07-09;180;74
Greg Blosser;1993-09-05;1994-04-17;200;75
Tom Bolton;1987-05-17;1994-07-30;172;74
Danny Boone;1981-04-11;1990-09-30;150;68
Thad Bosley;1977-06-29;1990-05-30;175;75
Daryl Boston;1984-05-13;1994-08-11;185;75
Denis Boucher;1991-04-12;1994-05-21;195;73
Jim Bowie;1994-08-03;1994-08-11;205;72
Sid Bream;1983-09-01;1994-07-27;215;76
Brent Brede;1996-09-08;1998-09-27;190;76
Billy Brewer;1993-04-08;1999-10-02;175;73
Rod Brewer;1990-09-05;1993-10-03;210;75
Kevin Brown;1990-07-27;1992-04-08;185;73
Tom Browning;1984-09-09;1995-05-19;190;73
J. T. Bruett;1992-06-03;1993-05-02;175;71
Will Brunson;1998-06-21;1999-07-09;185;76
Bill Buckner;1969-09-21;1990-05-30;185;72
Scott Bullett;1991-09-03;1996-09-29;200;74
Eric Bullock;1985-08-26;1992-04-30;185;71
Enrique Burgos;1993-07-15;1995-07-02;195;76
Terry Burrows;1994-06-12;1997-06-11;185;73
Randy Bush;1982-05-01;1993-06-23;186;73
Adam Butler;1998-03-31;1998-09-13;225;74
Brett Butler;1981-08-20;1997-09-28;160;70
Rob Butler;1993-06-12;1999-07-10;185;71
Greg Cadaret;1987-07-05;1998-09-26;210;75
Jim Campbell;1990-08-21;1990-08-26;175;71
John Candelaria;1975-06-08;1993-07-07;230;79
John Cangelosi;1985-06-30;1999-09-22;150;68
Don Carman;1983-10-01;1992-07-18;195;75
Mark Carreon;1987-09-08;1996-08-23;170;72
Matias Carrillo;1991-05-23;1994-08-10;185;71
Andy Carter;1994-05-03;1995-05-15;200;77
Chuck Cary;1985-08-22;1993-10-02;210;76
Larry Casian;1990-09-09;1998-05-18;170;72
Tony Castillo;1988-08-14;1998-06-19;177;70
John Cerutti;1985-09-01;1991-10-05;195;74
Bryan Clark;1981-04-11;1990-05-30;185;74
Stan Clarke;1983-06-07;1990-09-29;180;73
Pat Clements;1985-04-09;1992-09-27;175;72
Alex Cole;1990-07-27;1996-05-22;170;74
Dave Collins;1975-06-07;1990-10-03;175;71
Pat Combs;1989-09-05;1992-07-07;200;75
Keith Comstock;1984-04-03;1991-08-05;174;72
Steve Cooke;1992-07-28;1998-04-02;220;78
Sherman Corbett;1988-05-29;1990-05-05;205;76
John Courtright;1995-05-06;1995-05-06;185;74
Joe Crawford;1997-04-07;1997-09-27;225;75
Warren Cromartie;1974-09-06;1991-09-15;180;72
John Cummings;1993-04-10;1997-06-05;200;75
Mike Dalton;1991-05-31;1991-06-15;215;72
Doug Dascenzo;1988-09-02;1996-09-29;150;67
Jack Daugherty;1987-09-01;1993-10-03;188;72
Mark Davis;1980-09-12;1997-09-28;180;75
Tim Davis;1994-04-04;1997-04-18;165;71
Ken Dayley;1982-05-13;1993-04-14;171;72
Jim Deshaies;1984-08-07;1995-07-30;222;76
Lance Dickson;1990-08-09;1990-08-18;185;72
Frank DiPino;1981-09-14;1993-07-22;175;70
Glenn Dishman;1995-06-22;1997-09-07;195;73
Benny Distefano;1984-05-18;1992-08-05;195;73
Steve Dixon;1993-09-07;1994-07-18;190;72
Robert Dodd;1998-05-28;1998-06-16;195;75
Tom Drees;1991-09-03;1991-10-05;210;78
Brian Dubois;1989-08-17;1990-07-05;165;70
Matt Dunbar;1995-04-25;1995-05-20;170;72
Steve Dunn;1994-05-03;1995-09-28;225;76
Roberto Duran;1997-07-06;1998-05-28;167;72
Jim Dwyer;1973-06-10;1990-06-21;165;70
Radhames Dykhoff;1998-06-07;1998-06-07;205;72
Lenny Dykstra;1985-05-03;1996-05-18;160;70
Derrin Ebert;1999-04-06;1999-10-02;200;75
Chris Eddy;1995-04-26;1995-05-12;200;75
Wayne Edwards;1989-09-11;1991-05-25;185;77
Jim Eisenreich;1982-04-06;1998-09-26;180;71
Narciso Elvira;1990-09-09;1990-09-28;160;70
Jim Eppard;1987-09-08;1990-10-01;180;74
Vaughn Eshelman;1995-05-02;1997-07-11;205;75
Bryan Eversgerd;1994-04-30;1998-09-26;190;73
Mike Farmer;1996-05-04;1996-06-08;193;73
Sid Fernandez;1983-09-20;1997-04-05;220;73
Pete Filson;1982-05-15;1990-08-11;195;74
Mike Flanagan;1975-09-05;1992-09-27;185;72
Dave Fleming;1991-08-06;1995-09-30;200;75
Huck Flener;1993-09-14;1997-07-28;175;71
Don Florence;1995-08-08;1995-09-19;195;72
Tom Fordham;1997-08-19;1998-08-30;210;74
Tim Fortugno;1992-07-20;1995-07-26;195;73
Tony Fossas;1988-05-15;1999-05-14;195;72
Eric Fox;1992-07-07;1995-07-05;180;70
Terry Francona;1981-08-19;1990-04-19;190;73
Mike Frank;1998-06-19;1998-07-26;185;74
Steve Frey;1989-05-10;1996-08-02;170;69
Jay Gainer;1993-05-14;1993-10-02;190;72
Keith Garagozzo;1994-04-05;1994-04-28;170;72
Kirk Gibson;1979-09-08;1995-08-10;215;75
Paul Gibson;1988-04-08;1996-05-27;165;72
Brian Givens;1995-06-24;1996-06-26;220;78
Jerry Don Gleaton;1979-07-11;1992-07-20;205;75
Pat Gomez;1993-04-06;1995-09-30;190;72
Gabe Gonzalez;1998-04-01;1998-04-04;160;73
Curtis Goodwin;1995-06-02;1999-08-08;180;71
Jeff Granger;1993-09-16;1997-04-25;200;76
Tommy Gregg;1987-09-14;1997-09-28;190;73
Ken Griffey;1973-08-25;1991-05-31;190;71
Matt Grott;1995-05-04;1995-05-06;210;73
Ken Grundt;1996-08-08;1997-05-20;195;76
Lee Guetterman;1984-09-12;1996-07-13;225;80
Johnny Guzman;1991-06-08;1992-06-28;155;70
Chris Gwynn;1987-08-14;1996-09-29;200;72
Drew Hall;1986-09-14;1990-09-26;220;76
Mel Hall;1981-09-03;1996-05-21;185;72
Bob Hamelin;1993-09-12;1998-09-27;240;73
Atlee Hammaker;1981-08-13;1995-08-09;200;75
Lee Hancock;1995-09-03;1996-05-13;215;76
Shawn Hare;1991-09-06;1995-06-17;190;74
Dean Hartgraves;1995-05-03;1998-07-23;185;72
Hilly Hathaway;1992-09-08;1993-09-11;195;76
Neal Heaton;1982-09-03;1993-06-26;197;73
Danny Heep;1979-08-31;1991-06-08;185;71
Butch Henry;1992-04-09;1999-09-10;195;73
Keith Hernandez;1974-08-30;1990-07-24;180;72
Jose Herrera;1995-08-12;1996-09-29;165;72
Joe Hesketh;1984-08-07;1994-08-07;170;74
Greg Hibbard;1989-05-31;1994-06-23;180;72
Bryan Hickerson;1991-07-25;1995-09-23;195;74
Kevin Hickey;1981-04-14;1991-07-06;170;73
Teddy Higuera;1985-04-23;1994-08-09;178;70
Eric Hillman;1992-05-18;1994-05-30;235;82
Rick Honeycutt;1977-08-24;1997-05-02;185;73
Sam Horn;1987-07-25;1995-09-20;215;77
Vince Horsman;1991-09-05;1995-05-13;175;74
Ricky Horton;1984-04-07;1990-07-23;195;74
Chris Howard;1993-09-21;1995-09-20;185;72
Steve Howe;1980-04-11;1996-06-21;180;73
