taxi_id;indulas;idotartam;tavolsag;viteldij;borravalo;fizetes_modja
5240;2016-12-15 23:45:00;900;2,5;10,75;2,45;bankkártya
1215;2016-12-12 07:15:00;240;0,4;5,0;3,0;bankkártya
3673;2016-12-16 16:30:00;2400;10,7;31,0;0,0;készpénz
5400;2016-12-16 08:45:00;300;0,0;5,25;2,0;bankkártya
1257;2016-12-03 18:45:00;360;0,3;5,0;0,0;készpénz
4666;2016-12-30 18:00:00;2400;18,2;46,75;10,15;bankkártya
5998;2016-12-16 07:15:00;1800;18,4;45,0;11,25;bankkártya
2538;2016-12-31 17:15:00;540;0,0;6,75;0,0;készpénz
6594;2016-12-17 12:00:00;153;0,47;4,5;1,0;bankkártya
7864;2016-12-03 19:45:00;780;2,4;10,5;2,0;bankkártya
400;2016-12-06 15:30:00;3120;10,9;31,75;7,93;bankkártya
6482;2016-12-09 09:30:00;660;1,32;7,75;2,0;bankkártya
5856;2016-12-29 18:45:00;300;0,0;5,25;0,0;készpénz
7211;2016-12-12 22:30:00;1320;14,1;36,0;0,0;készpénz
1094;2016-12-10 21:00:00;540;1,4;6,75;4,0;bankkártya
6591;2016-12-22 22:45:00;480;1,7;7,75;0,0;készpénz
6514;2016-12-30 11:00:00;480;1,5;7,5;0,0;készpénz
8267;2016-12-17 04:15:00;360;1,9;7,75;4,0;bankkártya
8002;2016-12-19 12:15:00;300;0,9;6,0;2,0;bankkártya
2718;2016-12-19 10:15:00;1920;5,6;18,75;0,0;készpénz
4261;2016-12-27 18:45:00;780;4,4;14,5;0,0;készpénz
3449;2016-12-02 17:15:00;60;0,0;3,25;0,0;készpénz
6710;2016-12-07 23:15:00;1200;1,0;43,0;11,75;bankkártya
2605;2016-12-09 19:00:00;480;0,3;4,75;0,0;készpénz
1098;2016-12-30 12:45:00;660;0,0;14,5;2,0;bankkártya
3514;2016-12-09 09:15:00;600;0,0;10,75;0,0;készpénz
5846;2016-12-19 22:30:00;360;0,8;6,0;2,0;bankkártya
4126;2016-12-01 22:15:00;720;2,9;11,0;2,2;bankkártya
1369;2016-12-20 15:15:00;2160;17,4;43,5;0,0;készpénz
3018;2016-12-14 21:00:00;240;1,1;5,75;1,0;bankkártya
6729;2016-12-19 19:15:00;1800;9,6;26,75;6,15;bankkártya
5687;2016-12-06 12:45:00;900;0,1;10,0;0,0;készpénz
7578;2016-12-30 22:15:00;660;2,4;9,75;0,0;készpénz
2643;2016-12-01 23:45:00;180;0,0;4,25;0,0;készpénz
4359;2016-12-13 19:00:00;780;0,0;7,5;0,0;készpénz
945;2016-12-09 20:00:00;840;2,2;10,25;2,0;bankkártya
5114;2016-12-13 18:15:00;5100;0,0;48,75;6,0;bankkártya
5930;2016-12-01 13:15:00;540;1,3;7,0;0,0;készpénz
5149;2016-12-26 18:30:00;1980;5,3;20,75;4,15;bankkártya
3465;2016-12-30 12:45:00;240;0,0;5,0;0,0;készpénz
5579;2016-12-16 23:00:00;360;0,86;6,0;0,0;készpénz
8397;2016-12-15 14:00:00;335;0,0;5,0;0,0;készpénz
2643;2016-12-07 17:30:00;3540;0,0;42,75;6,0;bankkártya
4586;2016-12-31 03:30:00;300;1,2;6,5;0,0;készpénz
6852;2016-12-27 05:30:00;360;1,8;7,75;0,0;készpénz
4219;2016-12-15 12:30:00;244;0,61;5,0;2,0;bankkártya
4849;2016-12-07 12:00:00;60;0,0;3,25;0,0;készpénz
4069;2016-12-04 02:15:00;1680;7,2;3,25;0,0;készpénz
4705;2016-12-08 10:45:00;660;1,3;8,0;2,0;bankkártya
2685;2016-12-02 17:15:00;1140;2,0;11,0;0,0;készpénz
6361;2016-12-10 14:15:00;360;0,8;6,0;0,0;készpénz
6940;2016-12-04 11:30:00;300;0,8;5,5;0,0;készpénz
5571;2016-12-14 08:15:00;960;2,1;10,25;0,0;készpénz
7303;2016-12-08 18:00:00;900;1,1;9,75;2,0;bankkártya
5149;2016-12-10 19:30:00;1080;7,4;21,0;10,0;bankkártya
747;2016-12-03 16:30:00;1200;1,4;10,75;0,0;készpénz
772;2016-12-17 18:30:00;458;1,61;7,25;4,0;bankkártya
3165;2016-12-01 13:15:00;360;1,8;7,75;3,0;bankkártya
945;2016-12-20 20:15:00;1560;15,4;39,25;7,85;bankkártya
6043;2016-12-14 19:00:00;1680;2,0;14,0;0,0;készpénz
733;2016-12-06 15:15:00;300;0,5;5,5;2,0;bankkártya
7744;2016-12-14 08:15:00;540;1,8;8,25;2,0;bankkártya
316;2016-12-02 21:45:00;840;0,7;8,25;0,0;készpénz
8350;2016-12-01 05:45:00;360;1,3;6,75;0,0;készpénz
4342;2016-12-22 17:15:00;420;0,7;5,75;0,0;készpénz
7891;2016-12-18 21:15:00;660;3,5;12,25;2,55;bankkártya
2819;2016-12-26 22:15:00;240;0,0;5,5;0,0;készpénz
5138;2016-12-10 23:15:00;840;3,4;12,0;2,0;bankkártya
7323;2016-12-17 02:30:00;0;0,0;3,25;0,0;készpénz
1944;2016-12-20 11:30:00;360;1,1;6,5;0,0;készpénz
5349;2016-12-26 03:00:00;960;5,5;17,0;0,0;készpénz
7063;2016-12-11 00:15:00;360;1,0;6,5;2,0;bankkártya
4458;2016-12-03 13:00:00;240;1,0;5,75;0,0;készpénz
2556;2016-12-10 15:30:00;480;1,9;8,75;0,0;készpénz
6669;2016-12-08 20:45:00;720;3,9;13,0;2,8;bankkártya
1750;2016-12-14 20:00:00;1140;9,27;25,25;0,0;készpénz
6023;2016-12-07 22:00:00;300;1,0;6,0;2,0;bankkártya
102;2016-12-10 18:30:00;406;0,9;6,0;0,0;készpénz
1587;2016-12-17 21:00:00;2220;0,0;44,5;5,0;bankkártya
5140;2016-12-17 19:45:00;1320;3,3;14,0;0,0;készpénz
2374;2016-12-07 16:30:00;420;0,6;6,0;0,0;készpénz
7061;2016-12-12 13:45:00;780;1,9;9,5;0,0;készpénz
3478;2016-12-07 18:30:00;360;1,42;6,75;0,0;készpénz
6559;2016-12-14 18:30:00;900;2,9;12,0;0,0;készpénz
4330;2016-12-03 11:30:00;960;3,3;12,5;2,45;bankkártya
117;2016-12-23 21:00:00;420;0,8;6,25;0,0;készpénz
6196;2016-12-02 18:30:00;960;1,0;9,25;0,0;készpénz
3143;2016-12-12 21:30:00;1140;0,3;18,25;3,0;bankkártya
5022;2016-12-07 19:00:00;180;0,6;4,75;2,0;bankkártya
4205;2016-12-31 13:30:00;600;1,07;7,75;3,0;bankkártya
4638;2016-12-21 23:00:00;600;0,0;8,75;3,0;bankkártya
7006;2016-12-26 14:00:00;300;1,0;6,0;0,0;készpénz
2697;2016-12-30 20:30:00;540;1,8;8,0;0,0;készpénz
7244;2016-12-01 15:15:00;2640;17,9;45,0;5,0;bankkártya
6232;2016-12-09 11:00:00;480;1,0;6,25;0,0;készpénz
1094;2016-12-29 21:00:00;600;1,9;8,5;1,5;bankkártya
5548;2016-12-12 15:15:00;240;0,8;5,25;0,0;készpénz
5062;2016-12-10 08:30:00;600;2,0;9,0;0,0;készpénz
2037;2016-12-20 13:00:00;180;0,6;4,75;2,0;bankkártya
76;2016-12-10 23:30:00;420;1,3;6,75;2,0;bankkártya
5659;2016-12-04 02:00:00;120;0,0;4,75;0,0;készpénz
4531;2016-12-01 21:15:00;540;0,0;7,25;0,0;készpénz
6043;2016-12-03 02:15:00;840;4,1;13,5;0,0;készpénz
5757;2016-12-10 18:45:00;360;0,7;5,75;0,0;készpénz
4097;2016-12-09 20:45:00;300;2,9;9,75;0,0;készpénz
6197;2016-12-13 11:00:00;300;2,5;9,0;0,0;készpénz
1262;2016-12-15 10:00:00;240;0,0;5,0;0,0;készpénz
293;2016-12-29 13:15:00;611;1,67;8,75;3,0;bankkártya
53;2016-12-18 01:15:00;300;0,0;5,5;0,0;készpénz
3338;2016-12-31 21:45:00;2400;26,7;64,0;0,0;készpénz
2341;2016-12-08 00:30:00;1200;7,0;21,0;0,0;készpénz
