nyelv;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
angol;336;231;258;350;93;194;128;308;198;174
arab;187;85;102;39;158;130;330;56;263;352
bolgár;192;1;274;194;299;313;87;151;234;229
cseh;215;9;2;49;10;293;269;145;337;288
dán;154;180;301;36;251;51;192;25;62;19
finn;97;359;219;159;356;286;209;19;149;159
francia;192;226;73;261;134;184;320;340;263;340
görög;315;281;89;100;314;270;253;320;145;282
héber;15;105;87;15;269;123;315;39;129;60
hindi;176;58;1;111;95;182;348;133;358;48
horvát;203;202;171;133;81;337;20;242;202;92
ír;322;224;111;192;283;172;115;126;95;265
japán;309;303;82;335;8;20;10;52;309;84
latin;67;44;344;124;155;159;277;94;98;12
lengyel;309;107;255;128;63;300;203;85;248;69
mandarin;106;17;338;148;338;272;243;207;225;95
német;62;214;170;321;207;176;158;336;260;339
olasz;296;19;270;285;309;47;224;72;230;67
orosz;201;97;217;295;81;299;251;74;119;291
örmény;315;115;297;40;122;85;135;350;141;241
portugál;6;15;55;123;48;339;70;336;20;292
román;0;0;1;0;0;0;0;0;0;0
spanyol;16;279;27;27;58;168;60;310;21;40
svéd;251;285;339;106;71;294;89;176;54;58
szerb;90;305;212;108;245;325;213;56;97;82
szuahéli;0;0;0;0;0;1;0;0;0;0
thai;46;331;291;286;256;229;261;316;201;123
török;149;292;53;0;328;256;264;179;259;89
ukrán;357;15;150;154;23;7;151;60;158;302
